price,quantity
0.8003,13310.0
0.8004,6420.0
0.8005,78522.0
0.8006,80521.0
0.8007,101220.0
0.8008,29365.0
0.8009,46249.0
0.801,51070.0
0.8011,24561.0
0.8012,71775.0
0.8013,63572.0
0.8014,68985.0
0.8015,104239.0
0.8016,81922.0
0.8017,35734.0
0.8018,27833.0
0.8019,28651.0
0.802,86898.0
0.8021,39800.0
0.8022,66378.0
0.8023,61427.0
0.8024,35526.0
0.8025,15379.0
0.8026,29248.0
0.8027,39056.0
0.8028,15962.0
0.8029,50175.0
0.803,34978.0
0.8031,225948.0
0.8032,39897.0
0.8033,34214.0
0.8034,24000.0
0.8035,7755.0
0.8036,17721.0
0.8037,11600.0
0.8038,62079.0
0.8039,32093.0
0.804,22915.0
0.8041,4679.0
0.8042,24279.0
0.8043,38540.0
0.8044,5269.0
0.8045,9066.0
0.8046,4508.0
0.8047,538.0
0.8048,15152.0
0.8049,896.0
0.805,8678.0
0.8051,7190.0
0.8052,59018.0
0.8053,169599.0
0.8054,14062.0
0.8055,992.0
0.8056,10800.0
0.8057,11700.0
0.8058,15842.0
0.8059,51895.0
0.806,10854.0
0.8061,167393.0
0.8062,13013.0
0.8063,47930.0
0.8064,12696.0
0.8065,20025.0
0.8066,1928.0
0.8067,35781.0
0.8068,6150.0
0.8069,6023.0
0.807,10785.0
0.8071,22634.0
0.8072,1991.0
0.8073,19243.0
0.8074,20394.0
0.8075,42523.0
0.8076,27453.0
0.8077,555.0
0.8078,38594.0
0.8079,80806.0
0.808,6727.0
0.8081,104145.0
0.8082,115832.0
0.8083,8259.0
0.8084,1416.0
0.8085,4023.0
0.8086,4729.0
0.8087,11918.0
0.8088,5509.0
0.8089,16619.0
0.809,16199.0
0.8091,2741.0
0.8092,122391.0
0.8093,478.0
0.8094,7733.0
0.8095,733.0
0.8096,1366.0
0.8097,3768.0
0.8098,75877.0
0.8099,19349.0
0.81,38241.0
0.8101,973.0
0.8102,860.0
0.8103,11380.0
0.8104,533.0
0.8105,742.0
0.8106,6525.0
0.8107,10472.0
0.8108,2466.0
0.8109,685.0
0.811,11792.0
0.8111,2980.0
0.8112,1971.0
0.8113,11569.0
0.8114,12824.0
0.8115,20286.0
0.8116,2082.0
0.8117,24104.0
0.8118,4720.0
0.8119,3509.0
0.812,42643.0
0.8121,25585.0
0.8122,127306.0
0.8123,56994.0
0.8124,5083.0
0.8125,14158.0
0.8126,661.0
0.8127,20639.0
0.8128,1468.0
0.8129,1680.0
0.813,246529.0
0.8131,2337.0
0.8132,3248.0
0.8133,745.0
0.8134,3423.0
0.8135,6808.0
0.8136,23839.0
0.8137,16844.0
0.8138,18522.0
0.8139,63151.0
0.814,72835.0
0.8141,55119.0
0.8142,6702.0
0.8143,10644.0
0.8144,1767.0
0.8145,39813.0
0.8146,5045.0
0.8147,7977.0
0.8148,621.0
0.8149,5191.0
0.815,235428.0
0.8151,10674.0
0.8152,8992.0
0.8153,20907.0
0.8154,1160.0
0.8155,25510.0
0.8156,345.0
0.8157,3639.0
0.8158,5829.0
0.8159,31922.0
0.816,16993.0
0.8161,70851.0
0.8162,24519.0
0.8163,2000.0
0.8164,43021.0
0.8165,5125.0
0.8166,2473.0
0.8167,731.0
0.8168,51259.0
0.8169,4291.0
0.817,54219.0
0.8171,28608.0
0.8172,5406.0
0.8173,19084.0
0.8174,17677.0
0.8175,7335.0
0.8176,4301.0
0.8177,8361.0
0.8178,32059.0
0.8179,4918.0
0.818,68175.0
0.8181,3298.0
0.8182,18354.0
0.8183,2892.0
0.8184,3757.0
0.8185,4878.0
0.8186,15058.0
0.8187,1596.0
0.8188,11638.0
0.8189,64848.0
0.819,26039.0
0.8191,14713.0
0.8192,2853.0
0.8193,13308.0
0.8194,2872.0
0.8195,4046.0
0.8196,8410.0
0.8197,14680.0
0.8198,19370.0
0.8199,5230.0
0.82,168986.0
0.8201,3887.0
0.8202,4156.0
0.8203,2456.0
0.8204,23627.0
0.8205,52810.0
0.8206,28983.0
0.8207,1003.0
0.8208,1805.0
0.8209,3361.0
0.821,62406.0
0.8211,561.0
0.8212,3191.0
0.8213,2715.0
0.8214,495.0
0.8215,1736.0
0.8216,359.0
0.8217,1900.0
0.8218,4042.0
0.8219,2987.0
0.822,3494.0
0.8221,10529.0
0.8222,14878.0
0.8223,5667.0
0.8224,4867.0
0.8225,2395.0
0.8226,584.0
0.8227,2048.0
0.8228,638.0
0.8229,4790.0
0.823,75929.0
0.8231,252.0
0.8232,1321.0
0.8233,2492.0
0.8234,2294.0
0.8235,8023.0
0.8236,2494.0
0.8237,1663.0
0.8238,8682.0
0.8239,20332.0
0.824,19729.0
0.8241,3053.0
0.8242,3354.0
0.8243,1812.0
0.8244,4660.0
0.8245,19831.0
0.8246,26055.0
0.8247,10100.0
0.8248,4262.0
0.8249,3727.0
0.825,187784.0
0.8251,116.0
0.8252,2633.0
0.8253,4771.0
0.8254,10208.0
0.8255,14695.0
0.8256,15388.0
0.8257,12087.0
0.8258,3833.0
0.8259,448.0
0.826,115795.0
0.8261,582.0
0.8262,1772.0
0.8263,365.0
0.8264,1470.0
0.8265,12904.0
0.8266,2233.0
0.8267,526.0
0.8268,42344.0
0.8269,3338.0
0.827,18382.0
0.8271,10644.0
0.8272,1762.0
0.8273,473.0
0.8274,1352.0
0.8275,3443.0
0.8276,1834.0
0.8277,3577.0
0.8278,21066.0
0.8279,1024.0
0.828,21575.0
0.8281,156.0
0.8282,1432.0
0.8283,4908.0
0.8284,2504.0
0.8285,4510.0
0.8286,3852.0
0.8287,10452.0
0.8288,3144.0
0.8289,3245.0
0.829,27553.0
0.8291,712.0
0.8292,14889.0
0.8293,9776.0
0.8294,595.0
0.8295,2420.0
0.8296,517.0
0.8297,265.0
0.8298,6734.0
0.8299,22117.0
0.83,87309.0
0.8301,58.0
0.8302,486.0
0.8303,1997.0
0.8304,648.0
0.8305,22801.0
0.8306,8128.0
0.8307,2636.0
0.8308,99765.0
0.8309,2437.0
0.831,10918.0
0.8311,2835.0
0.8312,1925.0
0.8313,273.0
0.8314,457.0
0.8315,5977.0
0.8316,1270.0
0.8317,943.0
0.8318,5246.0
0.8319,4471.0
0.832,18676.0
0.8321,1064.0
0.8322,4888.0
0.8323,357.0
0.8324,3657.0
0.8325,202.0
0.8326,1382.0
0.8327,14631.0
0.8328,946.0
0.8329,52956.0
0.833,6433.0
0.8331,454.0
0.8332,6583.0
0.8333,71710.0
0.8334,1751.0
0.8335,2543.0
0.8336,9974.0
0.8337,3062.0
0.8338,446.0
0.8339,880.0
0.834,20630.0
0.8341,1480.0
0.8342,203.0
0.8343,578.0
0.8344,852.0
0.8345,968.0
0.8346,50918.0
0.8347,14394.0
0.8348,39807.0
0.8349,4228.0
0.835,49718.0
0.8351,1032.0
0.8352,68.0
0.8353,9913.0
0.8354,383.0
0.8355,2711.0
0.8356,545.0
0.8357,776.0
0.8358,4863.0
0.8359,7993.0
0.836,9171.0
0.8361,5223.0
0.8362,971.0
0.8363,5249.0
0.8364,460.0
0.8365,706.0
0.8366,2655.0
0.8367,17597.0
0.8368,1103.0
0.8369,10674.0
0.837,36488.0
0.8371,1778.0
0.8372,768.0
0.8373,3889.0
0.8374,24.0
0.8375,5680.0
0.8376,1896.0
0.8377,2183.0
0.8378,366.0
0.8379,652.0
0.838,9685.0
0.8381,808.0
0.8382,1417.0
0.8383,1465.0
0.8384,1062.0
0.8385,4031.0
0.8386,9026.0
0.8387,1129.0
0.8388,11295.0
0.8389,2610.0
0.839,12347.0
0.8391,2583.0
0.8392,238.0
0.8393,1379.0
0.8394,869.0
0.8395,6719.0
0.8396,263.0
0.8398,581.0
0.8399,3517.0
0.84,228066.0
0.8401,678.0
0.8402,582.0
0.8403,3679.0
0.8404,48951.0
0.8405,3323.0
0.8406,6283.0
0.8407,103.0
0.8408,6243.0
0.8409,1975.0
0.841,7852.0
0.8411,1064.0
0.8412,1067.0
0.8413,19636.0
0.8414,10505.0
0.8415,2230.0
0.8416,807.0
0.8417,54555.0
0.8418,4962.0
0.8419,2472.0
0.842,17767.0
0.8421,1070.0
0.8422,365.0
0.8423,1839.0
0.8424,11958.0
0.8425,2077.0
0.8426,253.0
0.8427,1448.0
0.8428,6071.0
0.8429,456.0
0.843,11923.0
0.8431,423.0
0.8432,2427.0
0.8433,906.0
0.8434,287.0
0.8435,933.0
0.8436,6156.0
0.8437,215.0
0.8438,1892.0
0.8439,374.0
0.844,2886.0
0.8441,1476.0
0.8442,698.0
0.8443,1730.0
0.8444,5123.0
0.8445,5182.0
0.8446,1777.0
0.8447,135.0
0.8448,3941.0
0.8449,120272.0
