price,quantity
0.7001,11201.0
0.7002,2330.0
0.7003,27.0
0.7004,1515.0
0.7005,1373.0
0.7006,444.0
0.7007,264.0
0.7008,3716.0
0.7009,1174.0
0.701,2308.0
0.7011,230.0
0.7012,203.0
0.7013,2036.0
0.7014,1253.0
0.7015,656.0
0.7016,34.0
0.7017,206.0
0.7018,953.0
0.7019,2989.0
0.702,6718.0
0.7021,5478.0
0.7022,939.0
0.7023,847.0
0.7024,129.0
0.7025,83.0
0.7026,185.0
0.7027,437.0
0.7028,539.0
0.7029,1554.0
0.703,14498.0
0.7031,692.0
0.7032,8018.0
0.7033,48.0
0.7034,8352.0
0.7035,461.0
0.7036,9305.0
0.7037,18808.0
0.7038,98.0
0.7039,911.0
0.704,2375.0
0.7041,1123.0
0.7042,263.0
0.7043,124.0
0.7044,536.0
0.7045,188.0
0.7046,1960.0
0.7047,8200.0
0.7048,332.0
0.7049,555.0
0.705,27363.0
0.7051,5007.0
0.7052,3782.0
0.7053,756.0
0.7054,1530.0
0.7055,2979.0
0.7056,5834.0
0.7057,402.0
0.7058,210.0
0.7059,74.0
0.706,857.0
0.7061,534.0
0.7062,481.0
0.7063,63.0
0.7065,137.0
0.7066,376.0
0.7067,9371.0
0.7068,3367.0
0.7069,98.0
0.707,12905.0
0.7071,11436.0
0.7072,176.0
0.7073,1239.0
0.7074,45.0
0.7075,1727.0
0.7076,41.0
0.7077,2291.0
0.7078,9160.0
0.7079,316.0
0.708,1363.0
0.7081,160.0
0.7082,89.0
0.7083,6883.0
0.7084,312.0
0.7085,12.0
0.7086,64.0
0.7087,83.0
0.7088,1127.0
0.7089,272.0
0.709,151.0
0.7091,774.0
0.7092,1980.0
0.7093,165.0
0.7094,14161.0
0.7095,335.0
0.7096,1720.0
0.7097,108.0
0.7098,54016.0
0.7099,128.0
0.71,77885.0
0.7101,243.0
0.7102,60.0
0.7103,197.0
0.7104,424.0
0.7105,262.0
0.7106,386.0
0.7107,121.0
0.7108,14713.0
0.7109,387.0
0.711,4617.0
0.7111,150.0
0.7113,723.0
0.7114,7653.0
0.7115,42.0
0.7116,117.0
0.7117,179.0
0.7118,132.0
0.7119,731.0
0.712,3487.0
0.7121,165.0
0.7122,1076.0
0.7123,1599.0
0.7124,1579.0
0.7125,1536.0
0.7126,956.0
0.7127,2929.0
0.7128,4790.0
0.7129,389.0
0.713,1446.0
0.7131,5276.0
0.7132,274.0
0.7133,4062.0
0.7134,146.0
0.7135,1817.0
0.7136,1521.0
0.7137,11135.0
0.7138,179.0
0.7139,211.0
0.714,4307.0
0.7141,2182.0
0.7142,76.0
0.7143,97.0
0.7144,868.0
0.7145,307.0
0.7146,37.0
0.7147,319.0
0.7148,1031.0
